
GREETING_INTRODUCTION		;Nós somos os {0}.\n\nSomos andarilhos pacíficos que buscam harmonia e boa vontade com todos.
GREETING_FRIENDLY			;Que esquema maligno você veio compartilhar conosco, amigo?
GREETING_NEUTRAL			;Explique sua presença diante de nós
GREETING_ANGRY				;Você vem falar conosco, inimigo?\n\nO que tem a dizer?

OFFER_FREETRADE				;Vocês aceitariam um Acordo de Livre Comércio conosco?\n\nAmbas as nossas economias se beneficiariam muito. E também podemos avaliar vocês para uma conquista futura.\n\nO que acham?
FREETRADE_ACCEPT			;Um Acordo de Livre Comércio seria muito útil. Nós aceitamos
FREETRADE_REJECT			;Não, não estamos interessados em um Acordo de Livre Comércio.\n\nTemos outros planos para vocês...

CANCELTREATY						;Nosso {0} com vocês está agora encerrado.\n\nEste acordo não nos é mais útil
CANCELTREATY_RESPONSE_FRIENDLY		;Nós costumávamos gostar de vocês.\n\nMas talvez tenhamos julgado mal a situação...
CANCELTREATY_RESPONSE_NEUTRAL		;Muito bem. Sua ofensa foi anotada
CANCELTREATY_RESPONSE_ANGRY			;Ótimo, ótimo. Este tratado estava atrapalhando nossos planos de qualquer forma

TREATY_PROPOSAL					;O que exatamente vocês estão propondo?
TREATY_ACCEPTRESPONSE			;Excelente!\n\nEsperamos que sejam aliados complacentes e submissos. São?
TREATY_REJECTRESPONSE			;Que independência a de vocês.\n\nEssa não é uma característica que apreciamos

TRADESANCTIONS_IMPOSE			;Chegou a hora de enfraquecê-los: estamos impondo Sanções Comerciais a vocês!\n\nNão se incomodem em responder; não estamos interessados na sua resposta
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Nós fervemos de ódio por você!\n\nNão pense que é forte o suficiente para nos desafiar - você não é
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Se nos importássemos com isso, talvez ficássemos bravos.\n\nMas não nos importamos, então não estamos
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Admitimos que sua ação nos surpreendeu.\n\nMas agradecemos por se identificar como nosso inimigo.\n\nFique certo de que lidaremos com você quando estivermos prontos...
TRADESANCTIONS_LIFT			;Estamos suspendendo as Sanções Comerciais contra você.\n\nParece que se tornou muito mais obediente. Lição aprendida para você
TRADESANCTIONS_LIFT_RESPONSE		;Isso parece importar muito para você.\n\nMas não para nós

WAR_DECLARE				;Chegou sua vez de ser assimilado ao nosso poderoso império: declaramos GUERRA a você!\n\nSua conquista será rápida e total.\n\nPor favor, não implore por misericórdia - não temos nenhuma
WAR_DECLARE_RESPONSE_EAGER		;Que irônico - estávamos prestes a declarar guerra a você! Tão conveniente.\n\nE agora você deve morrer...
WAR_DECLARE_RESPONSE_NEUTRAL		;Que corajoso da sua parte - ousar nos enfrentar!\n\nClaro, coragem e tolice são parentes próximos.\n\nMuito próximos, neste caso
WAR_DECLARE_RESPONSE_SURPRISED		;Você está cheio de surpresas!\n\nMas sempre recebemos bem uma boa luta.\n\nEntão, vitória para os fortes! - que somos nós, é claro

WAR_END					;É hora de esta guerra acabar. Completaremos sua assimilação mais tarde.\n\nO que você diz?
WAR_END_ACCEPT				;Pela primeira vez, concordamos com você - esta guerra deve acabar.\n\nNossas forças estão recuando
WAR_END_REJECT				;Acabar com a guerra?!\n\nSó os fracos anseiam por alívio de suas derrotas. Os fortes avançam com a conquista. Você é o fraco, e nós somos os fortes.\n\nEsta guerra ainda não acabou

GIFT_GIVE				;Temos um presente para você de {0} créditos.\n\nNão é da nossa natureza sermos tão gentis.\n\nEntão, seria sábio de sua parte ver isso como um estratagema cínico
GIFT_THANKS				;Obrigado pelo seu presente.\n\nIsso nos lembra de um inimigo conquistado pagando tributo a nós

WARNING						;Você quer nos avisar?\n\nVá em frente e desperdice suas palavras conosco
WARNING_INTELLIGENCEMISSIONS			;Sabemos de suas missões secretas contra nós.\n\nEsteja avisado de que podemos lhe dar uma lição de traição que você jamais esquecerá...\n\nPare com suas missões agora, enquanto ainda pode
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Missões secretas contra vocês? Que chocante
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Não se preocupe. Isso é apenas nossa vigilância de rotina sobre seu império.\n\nNada sinistro com que se preocupar
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Missões secretas? Isso normalmente indicaria preparativos para guerra.\n\nMas certamente não é o caso aqui. Então não se preocupe com isso...
WARNING_ATTACKS					;Parem com seus ataques descarados às nossas naves e bases!\n\nEssas ações os colocam em terreno muito perigoso. Advertimos que parem agora
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Ataques a vocês? Estamos muito chateados com isso
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Ataques a VOCÊS?!\n\nNão, não – nossas naves estavam se defendendo de ataques de suas forças.\n\nPor favor, não façam isso novamente
WARNING_ATTACKS_RESPONSE_ANGRY			;Ataques?\n\nSim, estamos amolecendo vocês antes de lançar um ataque total.\n\nMais alguma coisa que gostariam de discutir?
